epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.1749,1.04347,0.66,1,0.83293,0.08812,0.00012,0.00012
2,48.4352,0.69909,0.8,1,0.57193,0.0752253,0.00022525,0.00022525
3,73.3208,0.4952,0.86,1,0.33549,0.0623048,0.00030476,0.00030476
4,98.9966,0.37121,0.94,1,0.18937,0.0493585,0.00035853,0.00035853
5,128.926,0.26507,0.94,1,0.16826,0.0363866,0.00038656,0.00038656
6,155.277,0.25733,0.94,1,0.16718,0.0233889,0.00038885,0.00038885
7,178.686,0.22439,0.92,1,0.15924,0.0103654,0.0003654,0.0003654
8,202.512,0.17695,0.92,1,0.15208,0.000307,0.000307,0.000307
9,226.378,0.1752,0.94,1,0.14345,0.000208,0.000208,0.000208
10,251.737,0.18066,0.96,1,0.13472,0.000109,0.000109,0.000109
